Timestamp,Posture,Distance (cm),Sensor 2,Sensor 4,
2024/6/20 18:27,RS+PC,65,569,682,113
2024/6/20 18:27,RS+PC,65,575,685,110
2024/6/20 18:27,RS+PC,65,586,684,98
2024/6/20 18:27,RS+PC,65,593,690,97
2024/6/20 18:27,RS+PC,65,591,691,100
2024/6/20 18:27,RS+PC,65,572,675,103
2024/6/20 18:27,RS+PC,65,536,631,95
2024/6/20 18:27,RS+PC,65,496,582,86
2024/6/20 18:27,RS+PC,65,459,537,78
2024/6/20 18:27,RS+PC,65,440,506,66
2024/6/20 18:27,RS+PC,65,434,508,74
2024/6/20 18:27,RS+PC,65,430,511,81
2024/6/20 18:27,RS+PC,65,431,509,78
2024/6/20 18:27,RS+PC,65,427,502,75
2024/6/20 18:27,RS+PC,65,424,494,70
2024/6/20 18:27,RS+PC,65,422,482,60
2024/6/20 18:27,RS+PC,65,413,475,62
2024/6/20 18:27,RS+PC,65,415,476,61
2024/6/20 18:27,RS+PC,65,414,477,63
2024/6/20 18:27,RS+PC,65,415,479,64
2024/6/20 18:27,RS+PC,65,418,479,61
2024/6/20 18:27,RS+PC,65,414,479,65
2024/6/20 18:27,RS+PC,65,414,477,63
2024/6/20 18:27,RS+PC,65,414,475,61
2024/6/20 18:27,RS+PC,65,413,474,61
2024/6/20 18:27,RS+PC,65,416,471,55
2024/6/20 18:27,RS+PC,65,417,471,54
2024/6/20 18:27,RS+PC,70,414,473,59
2024/6/20 18:27,RS+PC,70,411,475,64
2024/6/20 18:27,RS+PC,70,412,477,65
2024/6/20 18:27,RS+PC,70,415,484,69
2024/6/20 18:27,RS+PC,70,435,514,79
2024/6/20 18:27,RS+PC,70,457,542,85
2024/6/20 18:27,RS+PC,70,470,566,96
2024/6/20 18:27,RS+PC,70,482,584,102
2024/6/20 18:27,RS+PC,70,480,579,99
2024/6/20 18:27,RS+PC,70,477,578,101
2024/6/20 18:27,RS+PC,70,479,582,103
2024/6/20 18:27,RS+PC,70,481,584,103
2024/6/20 18:27,RS+PC,70,483,587,104
2024/6/20 18:27,RS+PC,70,483,588,105
2024/6/20 18:27,RS+PC,70,481,585,104
2024/6/20 18:27,RS+PC,70,482,585,103
2024/6/20 18:27,RS+PC,70,485,587,102
2024/6/20 18:27,RS+PC,70,486,586,100
2024/6/20 18:27,RS+PC,80,486,589,103
2024/6/20 18:27,RS+PC,80,493,595,102
2024/6/20 18:27,RS+PC,80,506,615,109
2024/6/20 18:27,RS+PC,80,522,635,113
2024/6/20 18:27,RS+PC,80,539,651,112
2024/6/20 18:27,RS+PC,80,542,661,119
2024/6/20 18:27,RS+PC,80,536,652,116
2024/6/20 18:27,RS+PC,80,529,644,115
2024/6/20 18:27,RS+PC,80,528,636,108
2024/6/20 18:27,RS+PC,80,527,633,106
2024/6/20 18:27,RS+PC,80,526,637,111
2024/6/20 18:27,RS+PC,80,529,637,108
2024/6/20 18:27,RS+PC,80,529,638,109
2024/6/20 18:27,RS+PC,80,523,638,115
2024/6/20 18:27,RS+PC,80,521,635,114
2024/6/20 18:27,RS+PC,80,520,636,116
2024/6/20 18:27,RS+PC,80,513,638,125
2024/6/20 18:27,RS+PC,80,517,638,121
2024/6/20 18:27,RS+PC,80,519,637,118
2024/6/20 18:28,NS+NE,65,518,639,121
2024/6/20 18:28,NS+NE,65,517,641,124
2024/6/20 18:28,NS+NE,65,532,643,111
2024/6/20 18:28,NS+NE,65,528,628,100
2024/6/20 18:28,NS+NE,65,529,611,82
2024/6/20 18:28,NS+NE,65,539,599,60
2024/6/20 18:28,NS+NE,65,536,585,49
2024/6/20 18:28,NS+NE,65,549,590,41
2024/6/20 18:28,NS+NE,65,557,596,39
2024/6/20 18:28,NS+NE,65,557,598,41
2024/6/20 18:28,NS+NE,65,552,598,46
2024/6/20 18:28,NS+NE,65,550,599,49
2024/6/20 18:28,NS+NE,65,544,597,53
2024/6/20 18:28,NS+NE,65,543,596,53
2024/6/20 18:28,NS+NE,65,542,595,53
2024/6/20 18:28,NS+NE,65,543,596,53
2024/6/20 18:28,NS+NE,65,544,594,50
2024/6/20 18:28,NS+NE,65,543,594,51
2024/6/20 18:28,NS+NE,65,543,592,49
2024/6/20 18:28,NS+NE,65,545,592,47
2024/6/20 18:28,NS+NE,70,548,593,45
2024/6/20 18:28,NS+NE,70,549,593,44
2024/6/20 18:28,NS+NE,70,554,600,46
2024/6/20 18:28,NS+NE,70,566,612,46
2024/6/20 18:28,NS+NE,70,583,631,48
2024/6/20 18:28,NS+NE,70,593,650,57
2024/6/20 18:28,NS+NE,70,603,660,57
2024/6/20 18:28,NS+NE,70,606,663,57
2024/6/20 18:28,NS+NE,70,599,659,60
2024/6/20 18:28,NS+NE,70,601,655,54
2024/6/20 18:28,NS+NE,70,600,658,58
2024/6/20 18:28,NS+NE,70,597,656,59
2024/6/20 18:28,NS+NE,70,597,659,62
2024/6/20 18:28,NS+NE,70,597,662,65
2024/6/20 18:28,NS+NE,70,596,658,62
2024/6/20 18:28,NS+NE,70,596,660,64
2024/6/20 18:28,NS+NE,70,601,659,58
2024/6/20 18:28,NS+NE,80,605,657,52
2024/6/20 18:28,NS+NE,80,609,659,50
2024/6/20 18:28,NS+NE,80,583,641,58
2024/6/20 18:28,NS+NE,80,535,606,71
2024/6/20 18:28,NS+NE,80,515,596,81
2024/6/20 18:28,NS+NE,80,536,604,68
2024/6/20 18:28,NS+NE,80,576,634,58
2024/6/20 18:28,NS+NE,80,631,674,43
2024/6/20 18:28,NS+NE,80,658,691,33
2024/6/20 18:28,NS+NE,80,645,693,48
2024/6/20 18:28,NS+NE,80,639,690,51
2024/6/20 18:28,NS+NE,80,633,688,55
2024/6/20 18:28,NS+NE,80,626,690,64
2024/6/20 18:28,NS+NE,80,619,684,65
2024/6/20 18:28,NS+NE,80,612,680,68
2024/6/20 18:28,NS+NE,80,611,683,72
2024/6/20 18:28,NS+NE,80,612,682,70
2024/6/20 18:28,NS+NE,80,616,681,65
2024/6/20 18:28,NS+NE,80,620,682,62
2024/6/20 18:28,NS+NE,80,619,681,62
2024/6/20 18:28,NS+NE,80,623,681,58
2024/6/20 18:28,NS+NE,80,616,685,69
2024/6/20 18:28,NS+NE,80,613,686,73
